"Country","Region","Temp_sens","Precip_sens","Month","Temp_sens_scaled","Precip_sens_scaled","T_clim","P_clim","fr"
"China","Hebei",NA,NA,"Jan",NA,NA,-4.50539483824,0.735006264887,NA
"China","Hebei",NA,NA,"Feb",NA,NA,-1.19485241641,3.00568292241,NA
"China","Hebei",NA,NA,"Mar",NA,NA,5.31103341842,7.27711041674,NA
"China","Hebei",0.0168386228999436,8.65214643077609e-05,"Apr",0.163613886853665,0.000679530139459847,12.9150185407,22.519998033,0.142857142857143
"China","Hebei",-0.0303748525393196,-1.95377244100135e-05,"May",-0.295139793562432,-0.000153447155561763,19.0532733121,43.183476118,0.285714285714286
"China","Hebei",0.0136199261782967,0.00108691317118772,"Jun",0.132339151124916,0.00853649744265467,23.4011541865,71.1737734442,0.428571428571429
"China","Hebei",-0.0737532561886018,0.00160203104403574,"Jul",-0.716629678378964,0.0125821770063936,25.4847595739,153.707546469,0.571428571428571
"China","Hebei",0.0502727151733271,0.000533060156879043,"Aug",0.488479038996877,0.00418659630465838,24.3178097047,120.287760052,0.714285714285714
"China","Hebei",0.000920511689971768,0.00085924436388403,"Sep",0.00894422877603731,0.00674841147328835,19.4982995772,48.5144271969,0.857142857142857
"China","Hebei",0.0332054807727103,0.000529592601031114,"Oct",0.322643829388564,0.00415936249940809,13.0174982995,27.2628181551,1
"China","Hebei",NA,NA,"Nov",NA,NA,4.56185331764,11.1288803086,NA
"China","Hebei",NA,NA,"Dec",NA,NA,-2.14506436848,1.80517849512,NA
"China","Shanxi",NA,NA,"Jan",NA,NA,-5.83362580947,0.559318989239,NA
"China","Shanxi",NA,NA,"Feb",NA,NA,-2.34867883114,2.6096546661,NA
"China","Shanxi",NA,NA,"Mar",NA,NA,3.90569604437,11.2983550889,NA
"China","Shanxi",0.111492595675955,-0.00329400210045285,"Apr",0.361016482379397,-0.0108448420873484,11.0849319753,21.8411222954,0.142857142857143
