"Country","Region","Temp_sens","Precip_sens","Month","Temp_sens_scaled","Precip_sens_scaled","T_clim","P_clim","fr"
"USA","Nebraska",NA,NA,"Jan",NA,NA,-3.62667349517,7.09114042936,NA
"USA","Nebraska",NA,NA,"Feb",NA,NA,-1.34069943201,11.5629995936,NA
"USA","Nebraska",NA,NA,"Mar",NA,NA,4.73065014851,40.7698524131,NA
"USA","Nebraska",0.0403186177579328,0.000536173664882289,"Apr",0.0772282777023651,0.00121303280367514,11.0729865082,77.1139127254,0.142857142857143
"USA","Nebraska",0.0316550585019639,0.00174664328413411,"May",0.0606336671398734,0.0039515846054071,16.9340940881,109.008308185,0.285714285714286
"USA","Nebraska",0.00192396376522936,0.00224471307872012,"Jun",0.00368525550261918,0.00507841167455308,22.2327455813,117.617110377,0.428571428571429
"USA","Nebraska",-0.208197052965595,0.00189046316655569,"Jul",-0.398790948632594,0.00427696096501696,24.8779165596,90.0109766374,0.571428571428571
"USA","Nebraska",-0.156840306209182,0.00213627070894102,"Aug",-0.300419691854728,0.00483307297094631,23.7168451973,95.0868348416,0.714285714285714
"USA","Nebraska",0.0563757728560024,0.0053760820447753,"Sep",0.107984947994706,0.0121627828867594,19.2362548368,76.7354914071,0.857142857142857
"USA","Nebraska",0.0716445095385719,0.00328660001992526,"Oct",0.1372314425984,0.0074355640678547,12.4103691412,55.9516737376,1
"USA","Nebraska",NA,NA,"Nov",NA,NA,4.46605476026,27.6261017596,NA
"USA","Nebraska",NA,NA,"Dec",NA,NA,-2.38382654371,13.6309524991,NA
"USA","Iowa",NA,NA,"Jan",NA,NA,-5.34423804213,12.3890730071,NA
"USA","Iowa",NA,NA,"Feb",NA,NA,-2.93968099422,16.0213029966,NA
"USA","Iowa",NA,NA,"Mar",NA,NA,3.71027127562,48.0486407065,NA
"USA","Iowa",0.0760938417389753,0.00195567593184692,"Apr",0.0992870827458563,0.00377315667329162,10.5844892539,94.2989290117,0.142857142857143
"USA","Iowa",-0.0558182669060302,0.000794382868422091,"May",-0.0728315558575705,0.00153263174758443,16.7014390813,118.81326277,0.285714285714286
"USA","Iowa",0.0229187557172453,-0.00219232689869178,"Jun",0.0299043436804777,-0.00422973598699639,21.8263381121,124.363009843,0.428571428571429
"USA","Iowa",-0.116710017799152,0.00535677647483001,"Jul",-0.152282982823294,0.0103350235968024,24.0670297273,108.79729071,0.571428571428571
"USA","Iowa",-0.344355008844038,0.0028934814541999,"Aug",-0.449313682627958,0.00558249896119009,22.8180483332,107.308398515,0.714285714285714
"USA","Iowa",0.131941954558881,-0.00155048580282874,"Sep",0.172157581488328,-0.00299140862681798,18.5223166483,88.8677466895,0.857142857142857
"USA","Iowa",0.151475832645763,0.00604622976003944,"Oct",0.19764534404095,0.0116652108848129,11.8786215611,68.1851331431,1
"USA","Iowa",NA,NA,"Nov",NA,NA,3.9964692676,45.7132144829,NA
"USA","Iowa",NA,NA,"Dec",NA,NA,-3.50983752093,23.084986166,NA
"USA","Illinois",NA,NA,"Jan",NA,NA,-2.59346092217,39.311173203,NA
"USA","Illinois",NA,NA,"Feb",NA,NA,-0.359544025884,40.5447192043,NA
"USA","Illinois",NA,NA,"Mar",NA,NA,5.62967059671,72.1664285989,NA
"USA","Illinois",0.125228636631469,-0.00113385269498868,"Apr",0.123383547898789,-0.0012417628917454,12.0307824091,104.157911466,0.142857142857143
"USA","Illinois",0.0451899152212101,-0.0045573523713232,"May",0.0445240978359201,-0.00499108136738482,17.6830702684,122.487175539,0.285714285714286
"USA","Illinois",-0.169469519178799,0.0125901455061173,"Jun",-0.166972595880899,0.0137883655965801,22.6407775892,115.325049446,0.428571428571429
"USA","Illinois",-0.400130534494064,0.0181768286597286,"Jul",-0.394235107053065,0.0199067404602241,24.706824245,101.626312339,0.571428571428571
"USA","Illinois",-0.232537881357101,-0.00318412277828213,"Aug",-0.22911172391936,-0.00348715977508127,23.6464445912,96.8522352253,0.714285714285714
"USA","Illinois",-0.0986399536228491,-0.0116882465636583,"Sep",-0.0971866161761024,-0.012800631789711,19.4891986837,88.5139452472,0.857142857142857
"USA","Illinois",0.183425976169762,0.00150717328196622,"Oct",0.180723421777929,0.00165061287171387,13.226610049,82.4921266062,1
"USA","Illinois",NA,NA,"Nov",NA,NA,6.33789389769,84.3225084394,NA
"USA","Illinois",NA,NA,"Dec",NA,NA,-0.409052054434,56.2442407408,NA
"USA","Indiana",NA,NA,"Jan",NA,NA,-1.89694539394,54.51547345,NA
"USA","Indiana",NA,NA,"Feb",NA,NA,0.0741528435328,50.9663149034,NA
"USA","Indiana",NA,NA,"Mar",NA,NA,5.48194261108,81.0359184204,NA
"USA","Indiana",0.0862453406310437,0.00241096005590842,"Apr",0.093363281126603,0.00255563254360172,11.7510059792,106.495403812,0.142857142857143
"USA","Indiana",0.0232350785672767,-0.00267133702387412,"May",0.0251526999186612,-0.00283163373711247,17.3375007784,126.852434587,0.285714285714286
"USA","Indiana",-0.118245529967667,0.0139459480434877,"Jun",-0.128004487843158,0.0147827910230088,22.201465865,112.202063007,0.428571428571429
"USA","Indiana",-0.443216771777978,0.0168030987456801,"Jul",-0.479796030263902,0.0178113884062808,24.2444371109,107.939666244,0.571428571428571
"USA","Indiana",-0.200990287316511,0.00895079937811939,"Aug",-0.217578277981705,0.00948790259959446,23.2384107161,93.8227787976,0.714285714285714
"USA","Indiana",0.0590919010412627,-0.00770305263987008,"Sep",0.0639688327375563,-0.00816528335394241,19.2900012969,87.7494076502,0.857142857142857
"USA","Indiana",-0.000147094860475441,-0.00607780136578901,"Oct",-0.000159234791240465,-0.00644250696974109,12.9646309936,86.4925152441,1
"USA","Indiana",NA,NA,"Nov",NA,NA,6.68028138035,89.7634207996,NA
"USA","Indiana",NA,NA,"Dec",NA,NA,0.421378837116,70.1713059858,NA
"USA","Minnesota",NA,NA,"Jan",NA,NA,-8.74941716167,7.01737613854,NA
"USA","Minnesota",NA,NA,"Feb",NA,NA,-6.07383296661,8.55466746882,NA
"USA","Minnesota",NA,NA,"Mar",NA,NA,0.654439552508,32.4346703085,NA
"USA","Minnesota",0.209067231551876,0.00605827641437792,"Apr",0.290398319722405,0.00939702413128506,8.56984559635,74.9047769216,0.142857142857143
"USA","Minnesota",-0.15660193782469,-0.00374024474910811,"May",-0.217523039225199,-0.00580151313018128,15.323615193,97.9573326833,0.285714285714286
"USA","Minnesota",-0.0369957526529831,-0.001506017051633,"Jun",-0.0513877967749634,-0.00233599090043753,20.465007811,120.396072813,0.428571428571429
"USA","Minnesota",0.0109240813530734,0.00973805812326327,"Jul",0.0151737546142243,0.0151047527245516,22.7803503238,103.540148696,0.571428571428571
"USA","Minnesota",-0.24850157310152,-0.000912878253857201,"Aug",-0.345173362374341,-0.00141597021886667,21.4195767337,108.179273227,0.714285714285714
"USA","Minnesota",0.2370293802489,-0.00107462404012897,"Sep",0.329238270570605,-0.00166685495121766,17.0350879575,84.8774271939,0.857142857142857
